k	d	c	o	f	g	s	OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis_Bact_1	Bact_1	24915	26673	30919	27553	14813	19238	20385	23563	20264	20336	20665	13117	23299	11113	18292
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Hafnia	Hafnia_alvei_Bact_2	Bact_2	21	24	17	28	5	5	14	54	31	57	46	33	99	106	62
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_sp._Bact_3	Bact_3	674	718	1780	1037	738	956	1011	780	1619	1161	1055	1161	783	577	1274
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_sp._Bact_4	Bact_4	1194	883	464	1141	2193	267	1118	3187	636	456	1876	841	5093	3250	4022
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_linens_Bact_5	Bact_5	732	429	311	547	694	259	1006	878	423	334	991	192	3598	1625	2943
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_sp._Bact_6	Bact_6	408	313	40	736	1210	45	40	582	37	24	260	273	1225	1943	731
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter_sp._Bact_7	Bact_7	3	5	2	314	31	81	33	18	56	982	547	673	42	229	8
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Yaniella	Yaniella_sp._Bact_8	Bact_8	38	28	8	56	74	3	3	26	5	6	38	10	77	122	30
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia/Rahnella[OTU9]	Serratia/Rahnella[OTU9]_Bact_9	Bact_9	0	1	0	1	0	0	0	0	0	2	1	0	5	0	2
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_sp._Bact_10	Bact_10	55	85	10	113	238	13	8	172	13	2	73	107	163	440	97
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_sp._Bact_11	Bact_11	8	10	55	63	7	7	79	93	128	119	77	45	61	33	109
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis_Bact_12	Bact_12	7	10	41	51	3	12	68	81	128	113	54	37	56	28	92
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_fresconis_Bact_13	Bact_13	181	78	20	454	88	10	2	21	11	3	9	27	357	706	140
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum_Bact_14	Bact_14	370	94	94	323	131	14	16	57	17	5	35	20	281	192	50
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_sp._Bact_15	Bact_15	5	21	3	4	190	5	18	559	17	5	97	143	126	56	98
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia/Rahnella[OTU16]	Serratia/Rahnella[OTU16]_Bact_16	Bact_16	30	17	29	105	14	8	0	1	0	0	0	3	69	81	46
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia_cercidiphylli_Bact_17	Bact_17	32	33	10	33	165	19	5	138	11	3	66	126	55	134	37
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_sp._Bact_18	Bact_18	0	3	0	0	0	4	0	0	1	0	1	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp._Bact_19	Bact_19	1	1	0	1	13	7	0	1	0	0	12	36	1	12	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis_Bact_20	Bact_20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_sacelli_Bact_21	Bact_21	35	29	2	28	38	0	3	107	2	6	37	52	78	196	85
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia_sp._Bact_22	Bact_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_sp._Bact_23	Bact_23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia_timorensis_Bact_24	Bact_24	5	6	0	6	18	6	1	150	2	1	13	25	18	32	6
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_raffinolactis_Bact_26	Bact_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis_sp._Bact_27	Bact_27	0	22	0	2	260	8	0	1	0	0	0	0	10	20	34
