taxon	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19
Acetitomaculum	0	0	90	0	0	12	0	0	21	14	4	0	0	0	0	0	0	91	98
Acetivibrio_ethanolgignens_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0
Acidipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aciditerrimonas	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriaceae_Genus	279	12	276	365	372	208	74	158	293	73	158	176	14	0	187	125	0	94	163
Actinomycetales__undef___undef_	58	0	0	0	33	0	0	0	0	0	0	0	0	0	31	25	39	0	0
Aerococcus	0	0	248	0	75	38	39	60	47	109	82	13	234	67	443	1391	182	325	329
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenaceae__undef_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
Alistipes	0	0	0	0	0	0	0	0	0	12	68	108	0	0	18	0	15	227	49
Alloprevotella	3	0	0	0	0	0	40	22	30	13	17	0	4	0	0	0	0	46	48
Amaricoccus	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobacterium	0	0	0	206	0	0	0	0	53	0	71	0	0	0	0	0	0	84	23
Anaerocella	0	0	0	0	0	0	0	0	0	27	0	0	41	0	25	0	0	381	177
Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	23
Aquabacterium	151	348	183	104	209	44	91	185	0	22	67	72	0	18	19	120	0	37	33
Arcobacter	0	0	0	0	0	0	0	0	63	0	43	0	0	0	0	0	0	0	0
Arthrobacter	0	0	95	638	226	63	154	234	278	35	137	45	27	16	0	360	30	0	25
Atopostipes	0	0	107	0	0	40	5	0	0	29	36	0	12	0	0	0	121	324	196
Azospirillum	0	0	0	147	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Bacillus	59	384	1425	163	164	87	325	0	279	119	172	41	118	20	97	108	432	163	52
Bacteroidales_BS11_gut_group_Genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Bacteroidales_S24-7_group_Genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	163
Bacteroidales__undef___undef_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
Bacteroides	0	0	0	115	23	0	31	0	145	130	214	0	21	17	82	151	14	288	386
Barnesiella	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	25
Bdellovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria_Genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	55
