OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	taxonomy
otu1	2235	72	335	79	235	544	455	463	0	47	0	207	91	90	170	513	0	801	41	958	817	318	193	0	98	1302	0	118	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Ambiguous_taxa
otu2	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3563	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;_undef_
otu3	0	69	89	0	27	0	0	0	0	42	0	0	73	16356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_undef_
otu4	0	0	0	1371	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;uncultured_bacterium
otu5	0	0	0	0	0	0	0	0	0	0	0	0	47	22	25	66	0	0	28	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_undef_
otu6	97	0	117	0	0	1038	0	0	157	0	39	0	0	100	0	0	228	28	0	0	0	0	30	117	34	0	0	475	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;Ambiguous_taxa
otu7	0	0	0	0	0	0	24	0	0	0	0	0	62	0	0	0	0	0	0	0	7696	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_undef_
otu8	562	0	0	0	0	0	147	793	0	0	0	81	0	40	0	0	0	0	0	0	1153	0	106	160	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_undef_
otu9	0	0	0	11	0	0	0	0	0	0	15	5	0	0	0	0	4	0	0	0	0	0	0	15	0	0	0	8	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium_necrophorum_subsp._necrophorum
otu10	0	306	91	43	354	394	38	67	28	0	0	141	32	18	70	104	110	0	0	15	0	51	41	0	0	54	18	94	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus_lentus
otu11	0	50	231	0	23	581	85	49	0	97	0	277	49	65	48	0	227	0	11	39	45	0	0	63	0	0	44	358	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;uncultured_bacterium
otu12	1758	0	0	0	6378	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	83	0	0	0	112	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;uncultured_bacterium
otu13	0	0	0	0	0	0	8415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Filobacteriaceae;Filobacterium;_undef_
otu14	0	0	0	0	0	0	0	35	0	0	18	0	313	0	0	0	0	0	0	0	32	94	0	0	141	0	0	29	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Ambiguous_taxa
otu15	0	0	0	114	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured_bacterium
otu16	0	0	0	0	0	0	0	0	86	0	0	0	0	0	227	0	0	0	0	0	0	0	0	30	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Ambiguous_taxa
otu17	33	103	518	31	243	290	0	0	131	19	0	0	82	0	0	0	257	10	0	0	23	0	65	247	0	115	64	146	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;uncultured_bacterium
otu18	0	206	92	12	0	0	665	26	0	0	202	735	261	0	76	0	5	68	0	47	42	415	0	30	0	179	78	18	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus_lactis
otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6357	0	0	0	16	0	0	0	94	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Caviibacter;_undef_
otu20	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	154	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;Ambiguous_taxa
otu21	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	408	0	0	0	7	0	17	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;_undef_
otu22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;_undef_
otu23	0	77	518	0	110	89	0	54	0	83	0	0	99	0	134	15	146	191	139	26	0	0	0	0	181	0	100	63	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Oligella;_undef_
otu24	0	0	192	0	0	560	0	0	283	0	56	82	0	65	0	0	24	0	0	0	0	0	98	93	23	0	0	574	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;uncultured_bacterium
otu25	0	0	482	39	479	759	31	35	0	106	70	0	94	39	40	0	223	0	23	0	83	0	28	0	90	0	81	108	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Aliicoccus;_undef_
otu26	0	0	0	110	0	0	0	0	1350	0	0	0	172	0	0	129	0	0	0	0	68	503	44	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_undef_
otu27	0	0	0	2002	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;_undef_
otu28	0	0	488	0	0	82	128	0	0	0	141	57	0	0	0	0	104	0	113	0	26	0	0	60	178	42	77	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Oligella;_undef_
otu29	72	0	0	0	0	0	62	0	184	0	0	0	0	0	243	45	0	339	96	0	36	53	0	0	0	322	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured_bacterium
otu30	127	0	0	0	257	170	0	0	0	109	0	478	0	0	54	0	57	0	0	0	0	0	66	0	0	964	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Ambiguous_taxa
otu31	0	91	304	0	92	318	0	0	0	0	0	0	79	0	0	0	59	0	0	0	0	0	0	53	101	0	72	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured_bacterium
otu32	0	0	0	365	0	0	121	0	47	0	0	0	0	0	114	83	0	31	79	471	122	30	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured_bacterium
otu33	9	44	59	0	0	174	77	0	0	97	0	28	0	44	108	0	24	72	18	37	73	71	0	65	42	0	20	35	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;_undef_;_undef_
otu34	0	0	0	0	0	0	0	0	0	0	0	455	0	0	211	0	0	0	0	12	55	0	0	0	0	0	167	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia;_undef_
otu35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_undef_
otu36	0	0	207	0	50	93	0	0	0	0	0	68	0	0	0	16	118	0	0	0	0	0	15	122	0	0	37	133	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Ignavigranum;uncultured_bacterium
otu37	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Hafnia-Obesumbacterium;_undef_
otu38	0	0	0	0	30	90	0	0	0	0	0	49	0	0	80	0	82	76	0	0	0	40	0	92	0	0	84	109	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;uncultured_bacterium
otu39	0	0	0	0	0	0	94	0	0	0	0	0	0	0	81	104	0	106	0	228	110	104	0	0	0	398	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Ambiguous_taxa
otu40	0	0	319	0	107	33	0	27	30	0	0	23	0	0	50	0	36	78	79	28	16	38	7	0	180	0	18	16	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;uncultured_bacterium
